word,frequency_before,frequency_after,percentage_change
to,4227,3255,-22.995031937544358
and,2789,1891,-32.197920401577626
i,2009,1733,-13.73817819810851
of,2305,1380,-40.130151843817785
in,1875,1455,-22.400000000000002
you,1484,1630,9.838274932614555
or,1695,1134,-33.097345132743364
this,1288,1480,14.906832298136646
my,1413,1302,-7.855626326963907
that,1267,1351,6.629834254143646
the,1394,1184,-15.064562410329984
for,1163,981,-15.649183147033535
as,1550,532,-65.6774193548387
your,769,1227,59.557867360208064
on,1086,795,-26.795580110497237
it,823,967,17.496962332928312
is,888,879,-1.0135135135135136
me,880,786,-10.681818181818182
can,803,807,0.49813200498132004
what,698,793,13.61031518624642
a,813,675,-16.974169741697416
response:,711,724,1.8284106891701828
question:,702,705,0.4273504273504274
about,714,685,-4.061624649859944
we,656,731,11.432926829268293
from,837,541,-35.364396654719236
our,780,585,-25.0
if,579,774,33.67875647668394
do,669,665,-0.5979073243647235
with,706,626,-11.3314447592068
